compra,clase
balanceo y alineamiento,5
celular prepago con minutos en llamadas de regalo,6
pasaje a paine ida y vuelta,5
taxi colectivo locomoción,5
cajón de tomates,0
siplay de copas flauta 6und,3
galletas saladas crackelet,0
poleras hombre rolly glo,2
esponja acanalada para ollas,3
quesillo de campo fresco,0
fideo espiral 2 paquetes,0
cigarrillos 10u,1
gaseosa bebida gaseosa,0
caja de cigarros 10,1
remedio aradix concentración,4
mueble living,3
barco,5
pote de helado,0
prótesis de paladar,4
eutirox medicamento para la tiroides,4
bastón dulces navideños,0
toalla nova toallas de papel,3
bistec de vacuno posta rosada,0
celular smartphone prepago,6
pasaje vallenar a la serena,5
par zapatos bebe de 1 año,2
plato ondo,3
pasaje rancagua cumaco,5
toalla ultra 3,3
calcetas deportivas de hombre,2
pollo fresco grano trutro,0
crema de leche 2 cu 689,0
ibuprofeno comprimido anti inflamatorio,4
pan desayuno granel,0
poleras cuello pique mc hombre,2
examen sangre 1 examen orina,4
quesillo envasado con sal,0
repuesto auto espejo retrovisor,5
pasaje microbus colectivo urbano,5
parka colegio niño,2
cable cordón negro 075,3
consulta médica electiva 80416,4
mueble cocina mueble de lavaplatos,3
pantalón buzo hombre,2
celular mobile,6
pasaje en micro para el terminal del ageo,5
cuello ortopédico,4
pasaje bus de santiago a chillan,5
quit vanish 400ml,3
repuesto de camioneta,5
sofá 3 cuerpos tabla 13,3
tablas para ahumar,3
traje de varón chaquetapantalon,2
paquete galletas mini dulces,0
paltas,0
de bistec de pollo,0
copas de vodrio,3
pila control auto,3
cajita de te en bolsa,0
carburante gas 95 sp,5
yogures,0
piso limpiador,3
moilizacion casa abuela a placilla,5
pan de canapé,0
cambio de aceite a la moto,5
radiografía examenes de sangre,4
avellanas papas nueces almendras,0
bucogeum tos com 10,4
extirpación de verruga en el oído,4
gorro para el sol,2
ropa de vestir,2
bolsa de leche svelty descremada,0
ketorolaco antinflamatorio y analgésico,4
camisas de colegio niño,2
trans directo va belloto micro,5
poleras hombre regalo navidad,2
hospitalizacion por 2 semanas,4
par pantalones hombre adulto,2
manzana freca,0
limpia contacto,3
detergente líquido bio ropa,3
ropa interior mujer 2 calzones y 1 sostebn,2
cobertor saco de dormir,3
ravioles carne,0
parches para heridas,4
galletas pquete dulce con relleno,0
frutera de chimbarongo mimbre,3
prepago hogar,6
tanax moscas mata moscas tanax,3
conjunto buzo para niña,2
paño lence,2
jugo zuko light frambuesa,0
metro de tela,2
bono atención médica cirugía de digestiva,4
bolsas basura 70x90 cm paquete,3
toyota yaris sport hb 2008,5
insulina examenes,4
psicología bono,4
metamizol comprimidos 300 mg,4
margarina next pote,0
helado soft,0
caja paracetamol adultos,4
medias para varices,4
geniol 500 mg paracetamol,4
derecho día cama,4
hierba pectoral,4
filetito pec,0
limpiador líquido de piso,3
paracetamol 5 analgésico,4
examen de sangre virus sincicial,4
paquetes de mondadientes,3
queso de campo fundo karina,0
mueble cocina 3 cuerpos,3
posta seca staghetti n°5,0
alusa film plástico 20 mt,3
cinta aislante trabajo colegio,3
locomoción carga tarjeta bip,5
hierbas resfrío,4
honorarios medicos adulto,4
traslado en taxi familiamigo,5
mueble para víveres despensa,3
poleras de moda mujer,2
fuente de jugo 3 pzas,3
aspirina 100 mg 50 comprimidos,4
pasta de zapato betún,3
costurera,2
taxi deptoconsulta,5
prepago entel recarga,6
manilla danés simple negra,3
agua mineral gas,0
buzo niña,2
zapatos hombre alán,2
pollos,0
ibuprofeno 500 mg jaqueca,4
2 paquetes tallarines nro 5 650 cu,0
líquido limpia cocina,3
mango fresco,0
camias hombre,2
queso forma neumático trozo,0
chevrolet sail,5
cigarros paquete 10 unidades,1
lomo vetado,0
pasaje al centro coqbo ida y vuelta,5
peugeot 301,5
botellas lavalozas re,3
ropa niña prendas,2
ajo en polvo 15 grs cu,0
chapa de seguridad,3
pasaje taslca santiago,5
toalla género,3
examen de sangre orina electrocardiograma diabetes colesterol,4
cargo de la bip,5
polera sedora manga corta,2
pasaje pucon stgo,5
carga bencina auto,5
pesaje en bus,5
vestuario niño 2 camisas 2 ternos,2
paño polvo,3
polera hombre chaleco hombre pantalón hombre,2
set de instalador de cerámica,3
huevo color grande,0
cocina a gas 4 platos,3
pasaje interurbano cañete conce,5
luces decorativas diseño,3
mano de obra instalación kit emb,5
cambio repuestos,5
medicamento avixis caída de cabello,4
vestuarios varios hija,2
micro pasaje hospicioiquique,5
enchufes 2401 cu,3
paracetamol día,4
mante la vaquita 250 gr,0
paquete de 2 pilas aaa,3
lente óptico y de lectura,4
carne pulpa cerdo,0
caja faronkal ácido ursodesoxicolico para el hígado,4
ropa interior mujer varios,2
carne posta cerdo,0
consulta al pedíatra,4
vehículo v16,5
pares de calzones ropa interior dama,2
bebida 2 litros desechable,0
paletas para helados de plástico,3
vino en caja cabernet s 750 cc,1
moledor de papas,3
comedor metálico con 4 sillas,3
sabanas par,3
te ceylan bolsitas,0
otros vp celular isabel,6
primidona 50 comprimidos,4
ropa interior mujer lencería,2
rinitek 50 mg,4
punta philips,3
box spring king,3
rollitos de acero,3
bandejas rectangulares,3
juego de sabanas oferta,3
raid doble acción envasado,3
ecografia partes blandas pierna,4
cortavientos mujer,2
aparato para olla tapa,3
lechuga verde extra envasada,0
jeans mujer de mezclilla,2
eutirox 50 mcgmedicamento para tiroides,4
zapatillas niños 1100029000,2
chinitas dama,2
ecografia tiroides,4
bono fonasa pedíatra,4
silla comensal sitiales,3
nokatar para memoria,4
jeans pantalón de mujer,2
aceite natura,0
polera 3 mujer y 2 hombre,2
salamandra,3
combustible moto 93 octanos,5
botellas de cachantun con gas,0
bebida energizante gaseosa,0
sal fina envasada,0
consulta en servicio de urgencia por dolor en pierna,4
lustramuebles limpiador de muebles 250ml,3
combustible diesel,5
uva fresco granel,0
pasaje parralcap ilegible,5
ampo tp 12v,3
donuts rellena crema,0
biombo,3
consulta oftalmológica cambio de lentes,4
set de cuchillos,3
esponjas para lavalozas,3
pisa pie limpia pie,3
recarga bip pablo,5
bolsa de sal fina,0
abrigo chaqueta e impermeable mujer,2
pasteles dulces berlin,0
manteca astra,0
desodorante ambiental desinfectante lysofol,3
servilletra magilin mini,3
ropa infantil 1 poleron pantalón de buzo,2
cigarros el paquete tiene 10 cajetillas,1
galleta donut,0
atención dermatológica,4
revisión técnica 1 vehículo,5
set de 3 brochas,3
ginecólogo bono consulta,4
regalo de cumpleaños botas para mujer,2
atún en aceite desmenuzado en lata 170 grs,0
lavado interior focos auto,5
six 5 g botellas 330 cc,1
cambio tapiz sillones,3
poleron hombre 1 parka hombre 1 buzo hombre,2
zapato casuales mujer,2
servicio de aseo,3
1 examen orina 1 examen sangre 1 parásito,4
secadora ropa 10 kilos,3
bisoprol 5 mg 30 comprimidos corazón,4
camisetas niñas,2
examen completo sangre y orina,4
poleras zara de hombre,2
pantys de mujer bylon,2
vino misiones,1
celebración cumpleaños integrante l2trutros de pollo fresco a granel,0
pares calcetines hombre,2
carne palanca vacuno granel,0
ampolleta led 55 w35w,3
pasta seca con huevos,0
consulta mamografia bono,4
pasajes locomoción colectivo,5
consulta a urgencia,4
fideos spaghetti pasta,0
destornillador cruz,3
néctar tuttiarandano de 15 lt,0
manjar pote,0
carga de diesel est lleno,5
cadena de seguridad para bicicleta,5
mesa centro,3
recuerdos y souvenirs especifique mates,0
papel aluminio rollo,3
nueces 2,0
cereal cacao 2 bolsitasde 30 grs cu,0
huevitos de chocolate envasados,0
bandeja champiñon 250 grs,0
zapatillas deportivas de hombre,2
golden peanut maní,0
malla mosquetera,3
aquarius agua mineral con sabor,0
paquete rabanos frescos,0
harina blanca de trigo,0
de pan hallulla a granel,0
pago a señora por aseo,3
cinta rosa,2
mantención 50000 km automóvil,5
chandelle manjar postre,0
cordón elástico accesorio para costura,2
durazno conserva,0
nastul gts 15 ml gripe,4
pack limpieza,3
surtido mariscos frescos,0
choclo fresco entero,0
bolsa de basura 10 und 80x110 cm,3
paquetes bolsa basura superior,3
medicamento icaps en tabletas suplementos,4
conjunto ropa bebe temporada verano,2
yogurth frutos ligth,0
mermerlada de mora,0
sesión psicología infantil,4
reparación empaquetadura culatas,5
tarro café instantáneo,0
corta viento,2
pago claro móvil,6
pasaje colectivo plaza primavera,5
avellanas tostadas,0
examenes de sangre control dermatólogo,4
avión ambulancia,4
mantecion completa bicicleta entrentencion,5
mantequila envasada en pan,0
consulta de gastoenterologia,4
cigarrillo 20 und,1
pasaje de microbus escolar,5
bolsa tela reutilizable,3
infiltración por tendinitis,4
batería para auto,5
pisco campanario,1
jarabe tos 250 mg,4
tratamiento dental reparación protisis,4
piezas dentales,4
pañuelo de seda para cuello,2
boxer 3 pack,2
toallas humedas para desinfectar,3
especialista broncopulmonar,4
osteoartrit medicamento para artritis,4
cajetilla cigarros pine click,1
asa tomadores grandes café,3
laminas jamón pollo,0
galletas chocolate sin azúcar,0
cigarrillos sueltos,1
estacionamiento malla plaza,5
ac mm lav prem aceite,5
agua para el radiador pronto copec,5
dentista tratamiento conducto con coronoa,4
aerosol insectisida mata insectos,3
extracción de 2 molares,4
redcarga tarjeta bip,5
cigarros pallmall mentolado,1
cambio de neumático vehículo,5
galletas nik obleas,0
ibuprofeno jarabe,4
casaca dama marca doyte,2
kia modelo pop año 97,5
caldo maggi pollo de campo 12 x 10,0
pilas a,3
bar,3
vino 120 santa rita,1
lavadora 10 kg,3
celular por cambio de plan smartphone por cambio de plan de 24000,6
helados paleta,0
tabla 4 lentes optcos,4
mantención disco de freno,5
pasaje en avión venezuela chile,5
cerveza becker pack 24 latas 355 cc,1
corta viento,2
pasaje colectivo lo martinez,5
pack yogu soprole,0
cama 2 plazas juego de cama,3
cajas de fosforos copihue 150 cu,3
jamón cecina laminado de cerdo,0
ropa interior de varón slip calcetines,2
cajetilla de gigarros 20 unidades,1
cambio de banda de agua,5
chéster,0
galleta toddy grande,0
meloxicam 15 mg 10 tabletas,4
chalecos adulto,2
bajada de cama,3
par botines para mujer,2
espejo retrovisor led,5
te gold teefix,0
podologa línea 2,4
1 caja tiroideeutirox remedio,4
lays mediterraneas papas fritas,0
bolsa ensaladas fresco,0
elvenir 375 mlg 30 unidades,4
chalecos damas,2
medicamento fluconazol en comprimidos para infección urinaria,4
examen linfocitos b totales sangre,4
noche por hemorragia interna incluye examenes medicos de sangre e insumos suero y medicamentos paracetamol y cuidados de enfermería,4
marihuana uso recreativo,1
ilegible cama nuevo,3
queque naranja 250 grs,0
pastilla para infección vaginal,4
caja de regalo,3
mantención de moto,5
cambio de aceite filtro,5
botella sidra,1
calzoncillos adulto hombre,2
repuestos vehiculos,5
pasajes locomoción ida y vuelta liceo,5
mix empanadas de cocktail,0
de bebida cocacola,0
pulpa de cerdo fresco,0
de mote fresco,0
bilanten para hipertensión,4
agua tónica en lata 350 cc,0
cotona niño escolar,2
esponjas para cocina,3
gel lubricante íntimo,4
frasco propoleo spray 30 ml,4
correa para tubo de escape,5
bilacton 8 tabletas,4
galletas dulces con relleno frac,0
cambio de balatas repuestos y mano de obra,5
sabanilla cotidian,3
pack de 2 calzoncillos hombre,2
bandejao huevos chocolate,0
guantes virutex,3
auto usado,5
1 paquetes de vela chica 8 und,3
aroma rasp,3
sostén mujer kayser,2
pasaje viña del marcon con micro,5
camiseta de niño talla 8,2
mica para celular y protector,6
tapa filtro de agua automóvil,5
pasaje freire tco,5
pago cuenta fono claro,6
pago tripack de telefonía internet,6
hidrim 5 mg diurético,4
pasaje en avión y vuelta santiago,5
bolsa pimienta entera negra,0
celular smartphone 10000,6
nescafe tradicional,0
singulair medicamento mejora y ayuda a controlar asma,4
grabado en vidrio auto n° patente,5
salsa de tomates 3x1,0
jugos,0
consulta con psicopedagoga sesiones,4
ketoconazol shampoo para soriasis,4
servicio radioaxi,5
margarina soprole,0
automóvil subaru,5
bodier de bebe,2
sertralina 50 mg,4
pasaje ida y vuelta al centro,5
remedio analgésico geniol com 500 mg,4
consulta medicina alternativa terapia floral,4
hospitalizacion de l2 insumos honorarios etc,4
ticket juegos mecanicos,5
cambio de aceite y filtro repuesto automóvil,5
lustramuebles virginia,3
hospitalizacion derecho pabellón 2 dias 1 noche medicamentos anestesia honorarios,4
perfil bioquímico hombre1 scanner abdominal hombre,4
par zapatos mujer nuevos,2
laminas queso chanco granel,0
paq alfileres,3
pasaje al centro valpo,5
anillo anticonceptivo,4
esponjas para limpiar,3
pasajes colectivo hospital,5
dulce gomita ambrosoli,0
colación colegio manqueque,0
parches apósito callicidas,4
poleras niña 10 años,2
pasaje aéreo santiago balmaceda,5
examen tiempo de sangría,4
bono de atención oftalmólogo,4
detergente ropa bio,3
camisas de polar cuadrille para hombre,2
cremas colun light,0
automóvil nissan march,5
papas secas fritas lays stax,0
crema de champiñon,0
tira de carro ayuda traslado,5
compra carne,0
dias de cama examenes medicamentos transfusiones de sangre,4
cómoda para habitación,3
cirrago suelto,1
compota sabor,0
jugo líquido naranja 200ml cu,0
examen médico,4
solución nasal limpieza nasal,4
bono endocrino,4
zapatilla de deporte hombre,2
pan corriente a granel 1200 x kg,0
ron mojito,1
examen testicular,4
lustramuebles crema,3
recarga su tarjeta bip,5
sertralina ansiedad,4
examenes de orina completa y urocultivo,4
panadol infantil,4
pantalón formal hombre,2
quesillo queso fresco envasado,0
pan correinte,0
escurridor de platos,3
zapatilla adida mujer,2
rep pinchoso lavado auto,5
refrigerador 1 puerta 220 lt,3
cambio de mangueras radiador,5
detergente polvo 27 kg,3
medicamento par los huesos bonviva,4
detergente máxima líquido,3
pantalón mujer verano,2
tira de paracetamol 10 und,4
mantenimiento cambio aceite,5
de agua ardiente de 50 grados,1
lana para tejer 100 mg,2
piña cubitos en conserva,0
rocío taxi,5
mini mini caramelo,0
4 flan soprole manjar,0
aeropuerto,5
aceite oliva a granel,0
pasajes ida y vuelta concepción chillan estudiante,5
par calcetines de hombre,2
medicamento broncotox,4
ampolletas ahorro energía,3
cachantun woman agua gasificada,0
tabaco seco,1
consultas dentista odontólogo,4
insecticida raid arañas,3
bolsa de frutos secos,0
cloro clorinda 5,3
pago diario por aseo de vivienda,3
de petróleo,5
polera de varón deportiva adidas,2
bowl ramekin 13 cm,3
leche descremada en caja líquida,0
pan envasado de molde artesano,0
auto sedan marca renault,5
cable para celular de datos,6
cajetilla de 10 cu pallmall,1
pechugas frescas granel,0
traumatologia consulta,4
cloro líquido limpieza,3
pavo pechuga fresco a granel,0
pasaje interurbano colina,5
living 4 cuerpos,3
cobro por estacionamiento público,5
bictec vacuno posta,0
hospitalizacion mioma en el útero ilegible,4
pasaje bus santiago chillam,5
medias 600 cu,2
enchufe interruptor moto,3
corazón aspirina 20 pastillas,4
cejtilla cigarrillos fox x 20 unidades,1
bono endocrinologo,4
caja de hvit 400 comprimidos,4
mermelada ligh,0
paquetes de mondadientes,3
micro pasajes,5
microbus avenida alemania,5
pack 6 latas de cervexza 350 cc cada una,1
set de puntas atornill 1 phz 15 und,3
par de sillones living,3
bonbon cereza coñac,0
ropa interior conjunto calzón sostén dama,2
pasaje santiago constitución,5
pasajes concepción santa juana,5
polar ns zip contr dama,2
atención ginecológica dolor de ovarios,4
teléfono celular prepago,6
mermelada watts sachet 250grs,0
ropa bebe bosies,2
ramita grande,0
peto deportivo de mujer,2
vehículo automóvil chevrolet sedan cruz,5
cajetilla cihgarros,1
bono consulta medicina general,4
lija madera n°40,3
pasaje hospicio iqq,5
traslado bencina,5
pasaje los angeles concepción,5
carga de teléfono claro,6
toalla nova pack 3,3
pack servilletas elite,3
mayo,0
fresco platanos,0
detergente para la ropa drive,3
toalla clásica nova,3
metros de elástico,2
carga celular iglesia,6
900 cc limpia vidrios 900ml abrillantador piso 1 kg detergente para ropa,3
zapatos damas,2
bono de neorologia infantil,4
valaplex o fte 16 15 unidades,4
queso chacra s lactosa,0
arroz especial risotto camarón 150 grs,0
par de jeans de hombre,2
jockey niño rider,2
viaje auto 7 dias al tabo,5
set 5 colgadores,3
par lentes optcos niño,4
1 paquete de fideos espirales seco,0
cajetilla cigarro pallman,1
alcohol 95,4
consultas pediatricas 2000 cu,4
lavalozas limón líquido,3
galletas dulces sin rellenos a granel,0
glletas de soda,0
cerradura chapa,3
pasaje puerto montt valdivia,5
pantalón buzo y calza mujer,2
cambio de escape luces y freno de mano mano e obra,5
iquique petróleo,5
pasaje a rm ida y vuelta,5
cambio reja fierros tornillos pinturas,3
extracción dental dentista,4
traje de vestir niña,2
pares de chala mujer cu 12990,2
consulta con sicologa,4
farmacia vit c crema de cara,4
pijama de adulto mujer,2
red de parking,5
crema ácida,0
gastos de uniforme colegio nietos,2
helado cassatta,0
mantención bujias automóvil cambio aceite cfiltro,5
juegos de sabanas 10000 y 8000,3
incienso 10 unidades cada paquete,3
bicicleta adulto m urbana,5
toma de examenes a domicilio,4
bolsa choclo congelado,0
consulta médico general bono,4
cecina jamón pavo,0
postres chandelle chocolate con crema,0
camiseta térmica banboo cobre,2
pasaje en bus aricatacna,5
rodillo para bicicleta,5
tuareg galleta,0
cajetilla cigarros 20 uñi,1
regalo navidad celentino porcelana,3
pago enfermeras para padre,4
jurel al natural tarro,0
pasaje arica santiago ida y vuelta,5
aceite de ricino 30 ml cu,4
cola de mono envasado en bolsa,1
bono fonasa atención médico,4
anulette 28 comprimidos anticonceptivos,4
jugo de naranja pack 6 unidades,0
gasolina gas 95 sp,5
flan caricia en polvo,0
tela papel para curación,4
mago pads virutex antibacterial,3
juego cortinas de género,3
paquete de 4 bolsa de basura,3
vehículo dodge journy,5
paquete de cigarros fox,1
pasta lassar 30 grs pasta cicatrizante,4
prótesis metálica dental 7 piezas,4
corega tabletas,4
femelle 20 28 comprimidos,4
polerones de algodón mujer,2
pasajes bus buin maipo,5
vestido de niña,2
pasajes micro ida vuelta,5
tratamiento kinesicos tendinitis hombro der,4
pdq enterito polar,2
palo de escobillón,3
q río bueno granel,0
dinero a familiar por cuidado de hija,3
propoleo miel antitusivo,4
yogur batido con probioticos,0
gata herramienta,3
pasaje en radio taxi ida,5
pistola silicona,3
paquete cajetilla,1
pasaje la ligua valparaiso,5
vestuario mujer niña niño,2
alfombra mediana 133 x 180 metros,3
cigarrillo pallmall gris 20,1
reparación sistema inyección,5
paquete de cigarros pall mall light,1
antiax comprimido,4
sopa ligere choclo sachet en polvo,0
bolsa superior basura 70x90 cm,3
sillones clinicos x 139000 cu,4
vestido de noche forro,2
12 x 3 cerveza becker,1
par de calcetas mujer,2
piña colada,1
cajetilla de ilegible,1
zapato infantil niña,2
revisión técnica automóvil,5
vestidos pantalonespoleras,2
remedio para el estómago,4
basureros,3
servicio de taxi,5
bion allergo caps,4
zapatillas panchitas mujer,2
pizza vegetariana,0
crema de limpiar muebles,3
clorinda chica,3
celular android plan 9000,6
examenes ginecologicos pap sangre etc,4
oíl aceite,4
torta de merengue,0
lysoform bebe desingectante,3
streptococcus grupoa,4
paquete fósforo copihue,3
vitde comprimidos,4
medicamentos depresión tiroides,4
caja ciprofibrato,4
1 calza niña 2 polera niña,2
chaleco de bebe nuevo,2
pilas doble a arreglo control tv,3
bolsa mujer nueva,3
cuidados a lucas,3
paquetes toallas nova,3
vp negra es posta negra de vacuno,0
escuadras,3
ketoloraco para dolor estomacal,4
pasajes interurbano visita familiar,5
pasteles mini 2 pan nata 2 cupcake 4 roscas 2 cachitos 2 mil hojas,0
brasero de fierro,3
ketorolaco para dolor antiinflamatorio,4
tomates ají verde,0
trolebus pasaje,5
traje baño adolescente,2
blu jeans de hombre nuevo,2
escaner en el pie,4
silicona spray auto,5
trutrows de pollo granel fresco,0
guantes mujer,2
locomoción para el colegio,5
set artefactos eléctrico incluye hervidor plancha tostador,3
buzo para fiesta,2
postre mousse manjar manjarate,0
pasaje cerro mariposa,5
pantalones jeans mujer,2
mueble madera cajonera,3
filtro para el auto,5
hospitalizacion 1 mes,4
licuadora hester,3
bistec de vacuno asiento,0
cicaplast la roche pasay crema bálsamo reparador,4
bistec pavo fresco bandeja,0
lexapro apetito,4
omo 400 grs para ropa,3
cambio pastillas de freno auto,5
cirugía ambulatoria varicocele,4
