content,polarity
Este año el Madrid hará triplete y si lo hace me rapo al cero  grabad el mensaje jejej #ChiringuitoPiqué,P
@valenciacf Mis sentimientos y mi orgullo por el Valencia son muy grandes. Yo quiero lo mejor para el Valencia. ,P
"@przuppo @lolap245 me quedo con lo primer ""un pensamiento en un clic"" ",NONE
@Landspecies y sentimos empatia hacia cualquier ser vivo sin distinción ,P
Gracias tormenta por aparecer justo cuando me voy a meter en cama solita ,N
@Monysito pues pocas cosas más bonitas puedes ver en la vida oye ,P
"@Graffitera23 qué hermoso!,es bueno desviar la mirada al cielo y a las nubes de vez en cuando,abajo está jodido.preciosa foto,mil abrazos ",P
@Monysito en la vida puede verseme una teta porque cuando me eche la foto no estaba desnuda ,N
"@juanrallo Ya, ya. El edificio A sí, el edificio B no. Facilísimo de articular ",P
Mañana es muy probablee que caiga un directo!! Y ya sabeis lo que pasa en los directos... ,NEU
@Paloma_cv12 el club de la comedia se ha quedado demasiado grande #monologuista Jaja ,NEU
"Lamento decirles que ya no soy calvo, mi calva perfecta se ve opacada por mi pelo ",P
@Jorgeoneer ya pero no soy mucho de pc. No es muy potente el mío ,N
"@MiguelBarranco5 @llautet @BelenFGonzalez @pastoreta1 @BetEmilio @txemadomi @Minadeideas hola miguel no,ahora estoy en ella ",NONE
Nominada por @learamartell Aquí van nuestras pelis y nuestros taggeados.  https://t.co/hWqxW19Rjr,NONE
Ya me está jodiendo la tarde Pep...bueno me.voy a dar un.paseo ,N
"@aitor48 Prohibirlo, no. Se pueden hacer campañas, pedagogía... y no aplaudir como están haciendo muchas pseudo-feministas  @ladypalo",N
@Lahierritos pues sabran més q jo *curso CCC de mirones y mironas ,N
"He puesto la radio solo pa escucharle jajajajajajaja ai, que ganas de verle ya ostia ",P
@Slow_Dancer_ TOTALMENTE  Pobre Gappy... que inocente es  no sabe con quien se ha encontrado.,N
"@Tidxs_ 2. Hace mucho tiempo hablabamos por skype por un amigo en común y estaba guay, además de que eres muy mona! ",P
@Angela_M_A_ hombre me dices que se oía mal  yo soy defensora de Amaiah a morir JAJAJ,NEU
"Quiero que vuelva el invierno  y ponerme pantalones largos y chaquetas y sudaderas y abrigos, puto verano.",N
Pensar en irse pronto a la cama y ver que dan 2 capítulos de #minorityreport la mejor manera de alegrarse la noche ,P
"@DaniRS95 somos el PACMA, a todos caemos bien pero nadie nos quiere. Lloremos juntos ",N
Cuando sufres porque no encuentras emulador para jugar al pokemon rubí en iOS 9.3.4 ,N
@Lentejitas @Manuj_Hidalgo @lupesb77 convenciendo a mi hija mayor para verlo ,NONE
@ideiazabaldu no queda ni un país árabe laico... Hasta con Argelia y Tunez están acabando ,N
"@_tontonina porque somos de Móstoles, salir de nuestro ambiente es difícil ",N
ola wapa k tal stas?? spero k no seas una sorra kmo las otras xikas - machirulo QUÉ COJONES JAJSAKJKJSADJJSJASJAJAJA,N
@sweetbiix pues ahí lo tienes. Si tú no huyes entonces eres una luchadora y no una cobarde no? ,P
Es conveniente tener un Gobierno democrático que cumpla su función politica. NO lo es tener un Gobierno que representa la #corrupciónPP,N
@ann_lloret99 @luv_m0ney_party los salidos son los q suben cosas a esa página no yo ,N
"otra noche hasta las 4 de la mañana despierta, aburrida y sin sueño, lo veo venir... ",N
@CrususMusus_ me lo apunto en la lista de cosas posibles de hacer ,NONE
"@ShawnUpdatesSA esta no es, le tienes que dar a US Store, solo se vende en US y Canadá  por ahora claro.",N
Es triste que casi todas mis series acabadas hayan sido porque las han cancelado ,N
@adri_buzo @FulgenLison Nop. Pero ahora me queda más claro el asunto  Gracias !,P
Sólo quería hablar con gente en verda ,NEU
como entraba una conversación de estas largas de hablar toda la noche con alguien ,NONE
@Kosto_Trading @juanrallo O ponerte un casco de moto que te cubra por entero ,NONE
"@yolanday_y @el_pais Tras 72.000 años de viaje, conformate con que haya moléculas de Potasio y estén buenas ",P
@mafolu2 no creas. Pero me gusta tener a la gente engañada  @GranCTimes,P
Tú que he ido a cenar a mar de cristal y me he inflado y me duele la barriga ,N
"Mira que soy pesimista a maza, pero odio que la gente sea TAAAAN pesimista ",N
"@vanderhast Jajajaja en cuanto salga de mi bucle infinito con la casa, me imprimo los mapas a dos y lo estreno!! ",P
"@VioletaTrujillo yo me resigno con alguna gente, si se creen a este personaje es porque no están dispuestos a escuchar ",N
"@Baronachor El concepto es de lo más bonico, pero de eso a serlo hay un trecho ",NEU
Tener las piernas llenas de picaduras de mosquitos que parecen heridas NO ME HACE GRACIA. ,N
@liamverse se llama saber cual es la mejor forma de crear estructuras que aguanten ese peso ,NONE
"@Mercadolibre Enhorabuena por los geniales resultados económicos de récord del trimestre pasado, hacéis un gran trabajo ",P
Hay una exposición de cuadros y uno de ellos está estropeandose por el agua del aire acondicionado que le cae encima ,N
"@CrimsonGhost__ Tio entonces piensas que mosca es un insulto, yo creo que eso es un poco irrespetuoso a las pobres ",N
@PattyCavallone Para los chicos es mil veces más fácil donar que para las chicas ,NEU
lo malo es que faltaba su mid y acabaron haciendo remake ,N
@Diego_FDM @el_pais La noticia perfecta para #NotasDelMisterio ,P
Hoy toca escuchar a #MiguelRios con otros grandes artistas...  #Insurrección...,P
El Espanyol interesado en Aktí Mel para reforzar su defensa esta temporada. Llegaría por 2 millones del L-Casei Imunitas griego ,NONE
@Iluminaughty_ @Spiegel_Spike_ pues me da igual  yo escribo lo que pienso ^^ y cuando lo pienso ajajaj si es que lo pienso ,NONE
"@miguelagaiteiro @cultrun @lozanoirene Si hay que pecar de algo, que sea de ser buena gente! ",P
"@JuakyB me quedo tranquilo entonces, pero iré mirando la opción del coche ",P
Mi puto novio me ignora y quiero saber si hay un chino cerca de la biblioteca ,N
He salido de casa sin ir al baño y me estoy meando como una persona mayor ,N
"@ferdiazgil @FranDguez sí, lo he leído ese templo grande es el que he puesto en IG. Ha perdido su parte superior y está inaccesible",N
"@AdriMarinaB Así me gusta, cada cosa a su CCAA. Así dejamos de cargar las culpas a nuestra querida nación. ",N
"@ManudeOrleans pues yo no hay manera, y eso que tengo recuerdo lejano y de stats tengo una media de 69-70 ",N
"@pobrezacero @nuevatribuna @ruthtoledano @FelipeAlcarazM @carlosbardem @carnecrudaradio @agarzon @cayo_lara Vamos mal, no... peor ",N
"@lonchbox aaahm bueno, disfruta la vida por esos lares, yo me vuelvo a Rusia en breve ",NEU
Silvia pesada deja de dar rt que me sale doble notificación ,N
"@NeithanWolf @Cinefila_91 @Cinedepatio @SensaCine ""Resultad Sobrevives"" lo de estar loco funciona  ",NEU
"@concht1 pero nos hemos desmovilizado, Concha. Nosotros/as solas dejamos las calles. Así nos va  @CiudadanosCs",N
en realidá é algo duro de asimilar ni el alcohol me ayuda ,N
@Boardgametotal los ábacos si están permitidos. Sobre todo porque la mayoría no saben usarlo ,N
@beautyblog_es @isasaweis @_ANAMILAN_ ohhhhh eso tiene que ser muy divertido  me imagino que los hombres están vetados no?,P
tio os quiero mil a los que me habéis hablado ,P
"Había un hombre en la calle. Estornudó y yo desde la ventana le he dicho ""salud"" Me miró mal y siguió caminando ",N
"Me veis en persona, no me saludais y luego me hablais para decirme que me habeis visto ",N
"@BlasAuryn si es que no puedo olvidar cuando te viii, imposible. Que resumiendo, no te puedo olvidar  y no lo haré jamás chiqui",P
@Garcaterra estoy total y absolutamente desesperanzada  @ahorapodemos,N
"@Sorayita_push Bien bien, si estan celebrando un cumpleaños, si todos nacieron el mismo dia hahahahahahha al menos son dos capítulos ",P
"@Betvs_19 cucha, una independentista escribiendo en español!! Por muy del Barça que soy, te vas a buscar la vida  grassias.",N
Porque son tan manipulables los pequeños ? Y porque no ven a su padre igual que a su madre ? Triste ,N
@ApoyoCR7 Muy chulas esas gafas Paula  Y lo de guapa es talento innato tuyo :,P
"@DiegoPajaron @miguel_prat dicen que tira pa, san Mateo ahora Jaaja ",NONE
Esta tarde me voy a comprar un juego que estuve esperando muchísimo tiempo... posiblemente lo suba esta tarde-noche  Yoshi aparece ,P
"Qué depresión me entra, de seguro gana gente que solo dio RT porque sí, por probar suerte y no verdaderos fans ",N
"Gracias Victorerubio por recomendarme el seguimiento de @MandalaBeach. Artistas de talla internacional, monólogos y musica en directo ",P
@RyFsw jajajaja.... eso es una indirecta  preparate #F que quiere reformar el baño,N
WORK FROM HOME!! Sería espectacular y poder verlas más!  #ConMTVal727Tour,P
"Esta bien tener hermanos, siempre y cuando uno de ellos no decida ser subnormal perdido ",N
@DiegoPajaron @miguel_prat doble sub-campeón de Europa  algo es algo jaja,P
@LuisFBonilla @isabelsevilla9 @adirecto @peichsantana Ole los buenos almerienses!!!! Mil besitos!!!! ,P
@ToniThrowdown ahora tengo un dilema. Ayúdame Toni Y en 3DS porque me salió a 25 euros nuevo https://t.co/2bSRMWnrZ5,NONE
lo mejor es que son conversaciones normales y corrientes sin ningún ánimo de ligar pero  simplemente porque no se ligar ,NEU
@DieRaposa @DrXaverius y otros biólogos como él se sentirán complacidos. ¡Mola mucho! ,P
"Estás haciendo MUY feliz a todo mi tl,yo también quiero que me sigas  @BlasAuryn",P
"@iruri gracias, ya eran necesarias tras un duro año de trabajo  ¿has cogido tú ya?",P
"@MrMedra ay, joder, que resulta que es completamente vegana. Pues ya no me la compro. ",N
"@JeCaSWords @Humoryfotos El tuit va acompañado de una foto que quiere decir lo contrario, SÍ es sarcasmo ",NONE
"@edortaramirez un click más, scroll y a veces el usuario se queda un poco colgado sin saber bien lo que tiene que hacer ",N
"@Ronan_Coke @angelesuc1 @josecg96 @Airatarra @andarellabcn Muy triste, pero no olvidemos la inestimable colaboración del estado en ello  ",N
@escapeofthecrow el rottweiler es precioso pero... Esta zumbadisimo y ataca  y yo muero de ganas de achucharlo,N
@rossiepussie @luciakawaii1 te lleguen a entender y a respetar. Muy malos tienen que ser para obligarte a comer algo a la fuerza ,N
@AndreaNavedo Hola bella Andrea!! Qué tengas un maravilloso día!! Besitos! ,P
@TodoMegaDrive esta vez me decanto por la japonesa. P. Me encanta la batalla de caratulas ,P
@MarckLebowski michael jackson tambien y la gente canta sus canciones ,NONE
@Miraqbien podrías solidarizarte conmigo y no comer ninguno... ,NEU
@kioskoAMM @gloris72 @olivares1965 @Tomasimedia @madeinLeon Gracias pero los importantes sois vosotros.  Los mediadores.  Sois muy buenos ,P
Volviendo a la actividad en #PlanetaInquietante con otro curioso hallazgo en Canelas.  #Portonovo,NONE
"@RarrochaR bien dicho Roberto,  las cosas por su nombre,  porque nadie dice cola cado ",P
me acaba de seguir una página para ligar por gustos musicales. sé que estoy sola pero ,N
@FannyGEnguix estarás super mona  cuando pueda lo miraré yo también. Me molaría grupal de 'chicas Spidey',P
"@EstherSwaggy ¿haces también la misma carrera? Jo, igual de una comunidad a otra cambian, be positive ",NEU
@Polifack yo es que me asustó muy fácil con el rollo paranormal ,N
"@BroomKurosawa pues descansa tío, si se pone grave la cosa no podrás jugar en muchísimo tiempo ",N
@cantabriamiguel @Fabiana_tfp @elmundoes @larazon_es @elpais_espana n escarmentams a ver si van a ser mismas encueshshtasshs eh @ierrejon ,N
Sara piensa q vivo rayada xq me duermo escuchando a beret y weno ,N
yo con un mensaje de buenos días y un corazón soy feliz ,P
@anhela_ @Maxferibar @elprogramadear @PSOE así es compañera. Un fuerte abrazo! ,P
@NormaRuiz01 Y tú tan estupenda como siempre!! Besitos y feliz día!! ,P
al menos con ftwd se me hace más ameno esperar a twd en Octubre ,P
@FunInFvneral qué burrada pusieron hoy?? Que llevo meses bloqueada por otra heterada y me lo perdí ,N
@YEYIximmm hace una semana que se sabe  yo ya espero la edicion completa del juego ,NONE
@NuriStill @MartuBlackRed pues si eso haré.. y lo sigo haciendo  ya que haga lo que quiera. No pasa nada.,NEU
"es que todos los que dicen que los que escuchamos a ""los gemeliers"" somos adolescentes de mierda son los primeros adolescentes de mierda ",N
Hay videos que no se envían porque no tengo espacio en el móvil así que lo siento ,N
2h y 31m para que acabe tu descarga Me cago en mi puta vida.,N
"@txispitabi no te había reconocido en este perfil  El placer es mutuo, guapa!",P
@ConsueCaballer jajajajaja pues que se vuelva loco conmigo leches... llevo dias petándolo y nada... ,N
@EduEmoEsc muchas gracias por seguirme. Nos leemos ,P
@victorypeace76 @martiade @YouTube lo de la sortija es un buen detalle!! gracias ,P
Me recomendais alguna silla gaming buena please ,NONE
@Escuarantula sigo siendo feo pero es que cuando me conociste no tenía el pelo rojo ,N
Pocas maneras mejores se me ocurren para empezar una semana... https://t.co/P5wOXm5ffl,P
"gracias por ser mi sorpresa y ser tan genial, nos vemos pronto seguro @AntonLofer ",P
@2KEspana sabéis si el NBA 2k17 va a tener juego cruzado entre pc y ps4? por ejemplo? ,NONE
Ya a saber cuando vuelves a hacer un #FollowExpress  lloro @BlasAuryn,N
¿Algún día seré feliz por tener tu follow? @BlasAuryn ,N
@CiudadanO_O @Moralzarzal con lo fácil q sería educar para éstas cosas... qué pena ,N
Hoy microaventura en #kayak con dos expertos kayakistas Ría de Villaviciosa. @ El Puntal… https://t.co/y7j88bRmYK,P
Quiero esta figura de Madison  ojalá que la próxima en salir sea Alicia https://t.co/dTnJsrR8to,P
@ladyfrigopie no lo has dicho. Eres rara.. bueno eres diferente ,N
"@ADios_hi @elespanolcom Pues menudo susto. Al poner ""Tolerdo"" pensé que se refería a su parodia @WillyTolerdoo ",N
Rubén y Mangel deberían hacer como en 2013 y mencionarse en Twitter a cada rato. Así nos harían felices  *no lo hacen*,NEU
@AntonioPV98 @CeliaOgalla28 mis amigos hablando jodes .... K bonita amistad ,N
"buenos billete pa cuba comprado, ahora a hacer mas dieta porque se ha deretido la tarjeta ",P
@PapelitoRojo @sushuneta fue genial  debemos organizar más cosas así sin necesidad de que nadie abandone el país,P
"@NeoDonNadie de sobra, si solo somos 3 dime tu ID y ya te agrego ",NONE
"@slcuervo no se valora el potencial del español como lengua informativa en internet, negocio que se le escapa entre los dedos a España. ",N
En fin @kenneos espero que recibas este tuit en otra realidad alternativa donde sigues viva porque ahí no se acaba tu camino  ¡suerte!,P
"@Bvillamor_gay ha sido un placer! Muy profesionales  hoy en @ed_tve a las 19,39 ",P
"@luciaaaypunto No se , creo que no . Yo solo mire mi fecha ",NONE
@Ana_d_Armas Tú tan bella y con estilo como siempre! Te mereces siempre lo mejor!! Eres maravillosa!! Besitos y feliz día! ,P
"@cigotenks Me apiado de ti, yo me entero de que existen porque tú los encuentras. O sea, alguien los lee primero ",N
Quiero hacerle algo especial a David para que cuando lo vea sonria pero no se me ocurre nada ,NEU
"Lo he añadido porque antes no sabia hacerlo, pero estuve leyendo estos dias bastante y encontre el modo de hacerlo perfecto ",P
.@UGMadrid la recomendación en nuestra. ¡Nada mejor que una buena partida de paintball! ,P
"@HawkersCo @Hawky_  #NecesitoElViajeAAndalucia bueno si un tal premio al mongol o algo así, pero eso era malo ",N
@Rachel_Green_ Sí! El escenario MUWI Revellín es gratuito y abierto al público ,P
"@FantasyLaLiga Hola no se actualiza clasificaciones y lo que es peor, el mercado está vacío desde hace tiempo ",N
me voy a quedar afónico de tanto hacer guturales con fiebre ,N
"@Gabi_Herranz @KNekro yo se lo dije 10 veces ya, pero el me sigue teniendo ese pequeño odio... es comprensible, siempre le caere mal ",N
aquí escuchando el soundtrack de mamma mia con la ex dancing queen de maría ,NONE
@mrswxllace tres tristes trokistas pican piedra en un gulag ,N
que te echo de menos cosa chicaa! https://t.co/9QIk0GIVzO,N
@vinagreando tendremos que probarlos y de paso hacer alguna video receta chicos  @cocinadeenloqui,NONE
"@sandyxyxx es lo que tiene Amazon  a uno que conozco le llega el Lunes, siéntete afortunada ",P
@gloriatn -felicidades!!! -sales genial en tu icon -no te conozco casi nada- ,P
@kurokatze_ si es eso  pero bueno yo que se cada uno tiene sus gustos porque xd amiks,NONE
"Eso si, soy una persona MUY irónica y me gusta muchísimo el humor muy así ",P
@kurokatze_ yo nunca la he podido ver entera porque literalmente me duermo ,N
@Luis_Callejo Hola Luis!! Vendrás a Barcelona a promocionar #TardeParaLaIra ?? Un abrazo crack y feliz día! ,P
Ese momento en el que no tienes megas para ver el video y en casa de tu padre no hay wifi  #MamaHeAsesinadoAMiNovia,N
@lejosdelmarfilm @VeronikaMoral Verónika es una gran actriz y sobretodo una maravillosa persona!! Deseando verla ahí!! Besos! ,P
"El día 2 tengo los exámenes, suena lejano pero es la semana que viene jajaxd ",P
"@intomyhoran casi todo tiene manteca de cerdo, las gominolas(tristemente) no son lo único ",N
@ManuelIzquier14 en septiembre limitan el horario de toboganes pero las piscinas siguen abiertas hasta noviembre ,P
@michellecrecida y las galletas? Buenos días Michelle ,NONE
Buenos días @ainhoa_mallo  Y que podamos contarlo ,P
"Buenos días, esto va en serio....primer día de curro..... #FelizMartes!! ",P
Ultimamente estoy comiendo muchos macarrones... gracias Señor @marianorajoy sin ti esto no sería posible ,N
"Xenomorfos imprimados y a apenas seis horas de ""Mankind Divided"". ¡Menudo día! ",NONE
@Duke_apologia ? Este Tweet no está disponible. dice q el link no existe ,N
@tifuho ¿una funda asustadiza? Y su función...¿sobrevivir para luchar otro día?  ,NONE
"@LetInNeverlxnd se nos queda pequeña, sólo 300 de aforo ",N
@sitgesfestival Genial!! Vendrá @RachelNichols1 ?? Saludos y buen día! ,P
"@nenina74 @CrisLaLider no estoy de acuerdo, las cicatrices siempre recuerdan dolor, sufrido o provocado ",N
@elPachinko ¡De nada! Me gustó mucho ese paseo alternativo por otro Gante ,P
@vegetta777 @WillyrexYT @bysTaXx  que tal en el concierto  os lo pasasteis genial?,NONE
@Rubiu5 cuando diras los ganadores   PD:buenos dias que tengas un lindo day,P
"@hundredrooms @ohmyworld_es Qué chulada! Mola mucho el post, chicas! ",P
@bekiaes También es el cumpleaños de la preciosa actriz @luudelafuente !! ,P
Ayer iba a probarme el cosplay de Nozomi chico y verme los primeros caps de Diamond no Ace... y no pude ,N
"@Neinyatta A mi el de Babe me gusta mucho, y si no sesderma creo que va muy bien ",P
"@MarioEM_95 aún le queda un poquillo, pero por supuesto. Aunque tengo lista de rivales pendientes ",NEU
"@CharlieReckless llévame a tu casa, la otra vez blastoise y hoy dragonite ",NONE
@Albert_Rivera @PatriciaReyesCs @europapress  Y el contrato único va a ser posible?  Gracias por la respuesta Bnxes ,NONE
"Los canales de Latinoamérica como Andrés Navy, Extraordinerd o The Top Comics tampoco están nada mal, hay muy buen material ",P
Hoy es el cumpleaños de lo más molón de La Hoya ¡Felicitad todos a la bonica y maja de @IrlesEva! ,P
"@doctorgaona Es intrigante la autoexploración de los estados de consciencia a través de un espejo, de la mano de un pionero como Gaona ",P
"@Lakarcel @pimpsokzio ya me lo llevé la semana pasada, pensaba que seríais los primeros en darme, jo ",NONE
@ULPGC hola ¿me podrían seguir para hacer una consulta por Mensaje Directo? Muchas gracias,NONE
"Vale, pero creo que tendre un pequeño problema No se si podre tener las llaves el piso para las fotos https://t.co/WOvpvT0I7s",N
@erlik imposible  he tenido un par de horas libres solo. ¡Ha sido una visita fugaz!,N
De las pocas veces que hablamos por skype me pareciste una grandísima persona ,P
@AgnesFL1984 Pues tuvo que ser al ponerme el pijama pq últimamente uso vestidos largos. Tengo un ronchón considerable ,N
"@chiscoyo hombre!  Yo siempre y con la gente que me cae bien claro, con los que me caen mal ni agua  Muacc",NEU
He vuelto a escuchar Orishas 5 años después y es maravilloso ,P
Estoy pasando por una cuerda fina de inestabilidad emocional a gatas ,N
A ver que asi a lo tonto me quedan solo 2 dias en Galicia. ,NEU
Como apruebe (o si suspendo pero paso) voy a montar una fiesta y no pararé de beber hasta k mi hígado reviente ,P
"Os ha dado por un tweet mio del 16 de agosto a la hora de dormir cabrones, tendré que silenciar el movil ",N
acabo de hablar con alba y ya esroy un poquito mejor ,P
@landscps pues imaginate en una casa muy grande ,NEU
vale acabo de ver algo muy desagradable gracias cris y buenas noches ,N
"@relatosgregorio Gracias a datos como esos, hoy día tenemos un mejor catálogo sísmico con datos históricos ",P
@sammyriotmars Cierto  qué bonico es darles otra vida a los libros,P
@LoraInThePanda @_girlpride_ @Sorendix lo mas gracioso es que diciendo esas cosas solo fomenta aun mas el odio hacia el feminismo ,N
"@OscarBV96 tio que depresión. Pero no pasa nada, el amor lo soluciona todo ",P
"@wilma_lorenzo No dobles las esquinas! Pon post-its!, se queda más cuqui  https://t.co/DFKQaseaNA",NEU
"@SlaveofJavier, experto en hacer reencuentros inolvidables since 1994 ",P
"@JohanaGonzalezD y mi pobre hija tragando, no es justo ",N
"@antobosca ah vale, jo Boski yo quería jugar contigo ",NONE
Que entro al youtube i casi tots los videos son de haul material escolar i pos mira ,NONE
Me gustaría arreglar tantas cosas pero no puedo arreglar ninguna y es muy frustrante ,N
Se viene pelea y de las fuertes entre Willy Toledo y el Pequeño Nicolás #HableConEllas,P
#TrendingEstreno mi artista favorito es @LEONBENAVENTETW para ver en el @dcodefest  @Los40Trending,P
@ElviraChas #WillyToledo diciéndole a la cara las verdades de #HableConEllas. El primer entrevistado que se atreve a hacerlo en directo ,P
"Os imagino tal que así - oye tío digamos que somos aliados para follar más jeje - venga tío,va a ver si cuela ",NONE
@rabiekhd jajajajajaja me meo que yo tengo mi novio y él tiene su novia y estamos los dos contentos ,P
"@RanLuna13 Ambientado también en Italia, es una comedia sobre una serie de parejas y entuertos, con honor, clase social y mucho humor ",P
"@virginiadlp ahora es cuando tomo mis notas y comienzo a hacerle preguntas a mi nueva ""hija"" ",NONE
Se acabo lo bueno no tardes en volver hasta el año que viene,N
@rabiekhd @Omr_dh nos hemos conocido hace unos cuantos años y claro surgió el amor ,P
